iter	RMSE
0	1.679933505
1	1.619951709
2	1.550996052
3	1.470439226
4	1.389727233
5	1.282936478
6	1.214508337
7	1.159433715
8	1.106613043
9	1.045035679
10	0.998215918
11	0.938149188
12	0.8863780819
13	0.8434389899
14	0.8124987209
15	0.7898212209
16	0.7686377943
17	0.7456480847
18	0.7386304292
19	0.7100885093
20	0.6990430495
21	0.6839926199
22	0.6281194413
23	0.6177685176
24	0.5928895722
25	0.5483832608
26	0.5264307474
27	0.496001404
28	0.4635046286
29	0.4305693071
30	0.4043811412
31	0.3867235255
32	0.3796154198
33	0.3609621372
34	0.3427271975
35	0.3204400571
36	0.3084370105
37	0.3028698634
38	0.2926268026
39	0.2795543899
40	0.2733267805
41	0.2623155567
42	0.2467495417
43	0.2418883997
44	0.2381508721
45	0.234080816
46	0.2214658483
47	0.2141169794
48	0.1986758244
49	0.1886412332
